customerID,tenure,MonthlyCharges,Contract,TechSupport,OnlineSecurity,Churn_Probability,Risk_Level,Recommended_Action
7850-VWJUU,23,75.0,Month-to-month,No,Yes,0.1,Low Risk,💰 Offer annual plan discount
3774-VBNXY,64,20.2,Two year,No internet service,No internet service,0.0,,✅ Monitor
6217-KDYWC,57,19.6,Two year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
3146-MSEGF,72,88.05,Two year,Yes,Yes,0.0,,✅ Monitor
1095-WGNGG,61,101.05,Two year,No,No,0.07,Low Risk,🎯 Assign dedicated support agent
2636-SJDOU,64,84.3,One year,No,Yes,0.01,Low Risk,🎯 Assign dedicated support agent
1131-QQZEB,71,23.95,Two year,No internet service,No internet service,0.0,,✅ Monitor
5716-EZXZN,65,99.05,Two year,Yes,Yes,0.02,Low Risk,✅ Monitor
6837-BJYDQ,3,19.6,One year,No internet service,No internet service,0.0,,✅ Monitor
6440-DKQGE,30,64.5,One year,No,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
3466-BYAVD,15,69.5,Month-to-month,Yes,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
3780-YVMFA,8,68.55,Month-to-month,Yes,No,0.37,Medium Risk,🔒 Offer OnlineSecurity add-on
1679-JRFBR,70,108.15,One year,No,Yes,0.02,Low Risk,🎯 Assign dedicated support agent
9073-ZZIAY,62,86.1,Two year,Yes,Yes,0.01,Low Risk,✅ Monitor
3077-RSNTJ,6,19.7,Month-to-month,No internet service,No internet service,0.08,Low Risk,✅ Monitor
6551-GNYDG,14,80.9,Month-to-month,No,No,0.28,Low Risk,🎯 Assign dedicated support agent
9167-APMXZ,22,84.15,Month-to-month,No,No,0.4,Medium Risk,🎯 Assign dedicated support agent
2749-CTKAJ,22,20.15,One year,No internet service,No internet service,0.0,,✅ Monitor
6371-NZYEG,16,64.25,Two year,No,Yes,0.02,Low Risk,✅ Monitor
7554-NEWDD,10,25.7,Two year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
8992-VONJD,13,56.0,Month-to-month,No,Yes,0.1,Low Risk,💰 Offer annual plan discount
4482-EWFMI,2,69.7,Month-to-month,No,No,0.29,Low Risk,📧 Send re-engagement email
4648-YPBTM,53,73.9,Two year,Yes,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
2907-ILJBN,11,20.6,One year,No internet service,No internet service,0.05,Low Risk,✅ Monitor
6345-FZOQH,69,19.9,Two year,No internet service,No internet service,0.0,,✅ Monitor
5997-OPVFA,72,89.05,Two year,Yes,Yes,0.0,,✅ Monitor
1159-WFSGR,16,20.4,Month-to-month,No internet service,No internet service,0.04,Low Risk,💰 Offer annual plan discount
7654-YWJUF,43,84.25,One year,Yes,Yes,0.04,Low Risk,✅ Monitor
6727-IOTLZ,14,81.95,Two year,Yes,No,0.11,Low Risk,🔒 Offer OnlineSecurity add-on
5918-VUKWP,32,20.55,One year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
1744-JHKYS,34,24.7,Month-to-month,No internet service,No internet service,0.02,Low Risk,💰 Offer annual plan discount
5947-SGKCL,15,105.35,Month-to-month,No,No,0.29,Low Risk,🎯 Assign dedicated support agent
3712-PKXZA,61,20.55,One year,No internet service,No internet service,0.0,,✅ Monitor
6582-OIVSP,1,45.3,Month-to-month,No,No,0.09,Low Risk,📧 Send re-engagement email
5524-KHNJP,33,74.75,One year,No,Yes,0.1,Low Risk,✅ Monitor
4827-USJHP,20,51.8,Month-to-month,No,No,0.04,Low Risk,🔒 Offer OnlineSecurity add-on
8167-GJLRN,3,30.4,Month-to-month,Yes,No,0.11,Low Risk,📧 Send re-engagement email
0956-SYCWG,13,19.65,One year,No internet service,No internet service,0.0,,✅ Monitor
8017-UVSZU,40,56.6,Month-to-month,No,No,0.05,Low Risk,🔒 Offer OnlineSecurity add-on
7100-FQPRV,43,71.9,One year,Yes,Yes,0.06,Low Risk,✅ Monitor
2984-RGEYA,69,19.75,Two year,No internet service,No internet service,0.02,Low Risk,✅ Monitor
9680-NIAUV,72,109.7,Two year,No,Yes,0.01,Low Risk,🎯 Assign dedicated support agent
2146-EGVDT,59,19.3,Two year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
2604-IJPDU,20,96.55,Month-to-month,Yes,Yes,0.43,Medium Risk,💰 Offer annual plan discount
9178-JHUVJ,24,24.1,Two year,No internet service,No internet service,0.02,Low Risk,✅ Monitor
6168-YBYNP,59,111.35,Month-to-month,Yes,No,0.12,Low Risk,🔒 Offer OnlineSecurity add-on
7255-SSFBC,72,112.25,Two year,Yes,No,0.0,,🔒 Offer OnlineSecurity add-on
3645-DEYGF,1,20.75,Month-to-month,No internet service,No internet service,0.17,Low Risk,📧 Send re-engagement email
9323-HGFWY,27,101.9,One year,Yes,Yes,0.09,Low Risk,✅ Monitor
8544-GOQSH,14,80.05,Month-to-month,Yes,No,0.15,Low Risk,🔒 Offer OnlineSecurity add-on
3363-DTIVD,71,105.55,Two year,No,Yes,0.01,Low Risk,🎯 Assign dedicated support agent
7018-WBJNK,13,78.3,Month-to-month,No,No,0.45,Medium Risk,🔒 Offer OnlineSecurity add-on
9142-KZXOP,44,68.85,Month-to-month,No,No,0.15,Low Risk,🔒 Offer OnlineSecurity add-on
7674-YTAFD,33,79.95,One year,Yes,No,0.05,Low Risk,🔒 Offer OnlineSecurity add-on
6348-SNFUS,72,55.45,Two year,Yes,Yes,0.0,,✅ Monitor
1347-KTTTA,64,102.45,One year,Yes,No,0.09,Low Risk,🔒 Offer OnlineSecurity add-on
4195-NZGTA,1,25.25,Month-to-month,No,No,0.27,Low Risk,📧 Send re-engagement email
7157-SMCFK,61,19.75,Two year,No internet service,No internet service,0.15,Low Risk,✅ Monitor
4709-LKHYG,29,20.0,One year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
2504-DSHIH,23,86.8,Month-to-month,No,No,0.21,Low Risk,🎯 Assign dedicated support agent
0699-NDKJM,57,58.75,Month-to-month,No,Yes,0.07,Low Risk,💰 Offer annual plan discount
9286-BHDQG,72,45.25,Two year,Yes,Yes,0.01,Low Risk,✅ Monitor
0230-WEQUW,66,56.6,Two year,Yes,Yes,0.0,,✅ Monitor
2040-LDIWQ,65,84.2,Two year,Yes,No,0.0,,🔒 Offer OnlineSecurity add-on
6496-JDSSB,8,80.0,Month-to-month,No,No,0.34,Medium Risk,🔒 Offer OnlineSecurity add-on
4443-EMBNA,71,24.75,Two year,No internet service,No internet service,0.0,,✅ Monitor
6469-MRVET,1,20.2,One year,No internet service,No internet service,0.08,Low Risk,✅ Monitor
5961-VUSRV,12,19.35,One year,No internet service,No internet service,0.0,,✅ Monitor
6778-JFCMK,24,50.6,One year,No,Yes,0.04,Low Risk,✅ Monitor
6341-JVQGF,31,81.15,One year,Yes,Yes,0.01,Low Risk,✅ Monitor
4811-JBUVU,30,89.9,Month-to-month,Yes,No,0.09,Low Risk,🔒 Offer OnlineSecurity add-on
0945-TSONX,47,85.3,Two year,Yes,Yes,0.01,Low Risk,✅ Monitor
2651-ZCBXV,54,108.0,Two year,Yes,Yes,0.17,Low Risk,✅ Monitor
3316-UWXUY,50,93.5,Month-to-month,Yes,Yes,0.04,Low Risk,💰 Offer annual plan discount
7083-MIOPC,72,20.25,Two year,No internet service,No internet service,0.0,,✅ Monitor
1984-GPTEH,29,25.15,Month-to-month,No internet service,No internet service,0.02,Low Risk,💰 Offer annual plan discount
0621-JFHOL,10,29.6,Two year,Yes,No,0.02,Low Risk,🔒 Offer OnlineSecurity add-on
9903-LYSAB,18,73.15,Month-to-month,No,No,0.17,Low Risk,🔒 Offer OnlineSecurity add-on
9227-UAQFT,16,19.75,Two year,No internet service,No internet service,0.0,,✅ Monitor
7301-ABVAD,72,86.6,Two year,Yes,No,0.01,Low Risk,🔒 Offer OnlineSecurity add-on
6614-FHDBO,72,109.2,Two year,Yes,No,0.02,Low Risk,🔒 Offer OnlineSecurity add-on
7576-ASEJU,41,74.7,One year,Yes,Yes,0.03,Low Risk,✅ Monitor
9058-HRZSV,65,94.4,Month-to-month,No,Yes,0.08,Low Risk,🎯 Assign dedicated support agent
4522-AKYLR,13,54.8,Month-to-month,No,No,0.05,Low Risk,🔒 Offer OnlineSecurity add-on
0221-WMXNQ,4,75.35,Month-to-month,No,Yes,0.09,Low Risk,✅ Monitor
0303-UNCIP,41,65.0,One year,No,No,0.06,Low Risk,🔒 Offer OnlineSecurity add-on
0959-WHOKV,42,99.0,One year,No,Yes,0.11,Low Risk,🎯 Assign dedicated support agent
4075-JFPGR,51,93.5,One year,No,Yes,0.12,Low Risk,🎯 Assign dedicated support agent
3282-ZISZV,32,83.7,One year,Yes,No,0.06,Low Risk,🔒 Offer OnlineSecurity add-on
3675-YDUPJ,10,19.85,Month-to-month,No internet service,No internet service,0.02,Low Risk,✅ Monitor
4111-BNXIF,67,59.55,Two year,Yes,No,0.0,,🔒 Offer OnlineSecurity add-on
7017-VFHAY,61,115.1,Two year,Yes,Yes,0.01,Low Risk,✅ Monitor
6655-LHBYW,50,114.35,One year,Yes,Yes,0.03,Low Risk,✅ Monitor
5046-NUHWD,29,45.0,Month-to-month,No,Yes,0.14,Low Risk,💰 Offer annual plan discount
7529-ZDFXI,57,89.85,Month-to-month,No,No,0.27,Low Risk,🎯 Assign dedicated support agent
7605-BDWDC,31,49.85,Two year,Yes,Yes,0.0,,✅ Monitor
1950-KSVVJ,45,113.3,One year,Yes,Yes,0.1,Low Risk,✅ Monitor
0123-CRBRT,61,88.1,Two year,Yes,Yes,0.0,,✅ Monitor
6292-TOSSS,50,24.9,Two year,No internet service,No internet service,0.05,Low Risk,✅ Monitor
3197-ARFOY,19,105.0,Month-to-month,Yes,Yes,0.56,Medium Risk,💰 Offer annual plan discount
7014-ZZXAW,71,24.25,Two year,No internet service,No internet service,0.0,,✅ Monitor
7633-MVPUY,57,59.75,Two year,Yes,Yes,0.01,Low Risk,✅ Monitor
4716-HHKQH,20,107.05,Month-to-month,Yes,No,0.26,Low Risk,🔒 Offer OnlineSecurity add-on
3179-GBRWV,21,64.95,Month-to-month,No,Yes,0.24,Low Risk,💰 Offer annual plan discount
8645-KWHJO,14,55.0,Month-to-month,Yes,No,0.11,Low Risk,🔒 Offer OnlineSecurity add-on
4130-MZLCC,5,50.55,Month-to-month,No,No,0.12,Low Risk,🔒 Offer OnlineSecurity add-on
0314-TKOSI,6,55.15,Month-to-month,No,Yes,0.19,Low Risk,✅ Monitor
8229-MYEJZ,10,51.2,Month-to-month,No,No,0.04,Low Risk,🔒 Offer OnlineSecurity add-on
2080-SRCDE,1,25.4,Month-to-month,No internet service,No internet service,0.05,Low Risk,📧 Send re-engagement email
9577-WJVCQ,68,54.45,Month-to-month,No,Yes,0.01,Low Risk,💰 Offer annual plan discount
6202-DYYFX,22,76.0,One year,No,No,0.07,Low Risk,🔒 Offer OnlineSecurity add-on
3808-HFKDE,20,44.35,Month-to-month,No,No,0.14,Low Risk,🔒 Offer OnlineSecurity add-on
3727-OWVYD,35,61.2,One year,No,Yes,0.02,Low Risk,✅ Monitor
2294-SALNE,23,86.8,One year,Yes,No,0.07,Low Risk,🔒 Offer OnlineSecurity add-on
4847-TAJYI,6,89.35,Month-to-month,No,No,0.36,Medium Risk,🎯 Assign dedicated support agent
1563-IWQEX,12,19.7,Month-to-month,No internet service,No internet service,0.02,Low Risk,✅ Monitor
8203-XJZRC,1,20.25,Month-to-month,No internet service,No internet service,0.08512081552640204,Low Risk,📧 Send re-engagement email
6556-DBKZF,71,76.05,Two year,No,No,0.05,Low Risk,🔒 Offer OnlineSecurity add-on
6851-WEFYX,35,100.8,Month-to-month,No,No,0.28,Low Risk,🎯 Assign dedicated support agent
2985-JUUBZ,40,74.55,Month-to-month,No,No,0.11,Low Risk,🔒 Offer OnlineSecurity add-on
0895-LMRSF,23,64.9,One year,No,No,0.17,Low Risk,🔒 Offer OnlineSecurity add-on
8266-VBFQL,4,90.4,Month-to-month,Yes,No,0.68,High Risk,🔒 Offer OnlineSecurity add-on
8181-YHCMF,68,60.3,Two year,Yes,No,0.01,Low Risk,🔒 Offer OnlineSecurity add-on
2240-HSJQD,38,81.85,Month-to-month,No,No,0.08,Low Risk,🎯 Assign dedicated support agent
1248-DYXUB,52,24.8,Two year,No internet service,No internet service,0.0,,✅ Monitor
4115-BNPJY,29,75.55,Two year,Yes,No,0.01,Low Risk,🔒 Offer OnlineSecurity add-on
3167-SNQPL,38,101.15,Month-to-month,No,No,0.2,Low Risk,🎯 Assign dedicated support agent
4091-TVOCN,48,78.75,One year,No,Yes,0.02,Low Risk,✅ Monitor
1098-TDVUQ,1,19.25,Month-to-month,No internet service,No internet service,0.03,Low Risk,📧 Send re-engagement email
7277-OZCGZ,22,89.05,Month-to-month,Yes,Yes,0.3,Low Risk,💰 Offer annual plan discount
1557-EMYVT,43,115.05,Two year,Yes,Yes,0.06,Low Risk,✅ Monitor
2799-ARNLO,5,69.35,Month-to-month,No,No,0.23,Low Risk,🔒 Offer OnlineSecurity add-on
5027-YOCXN,51,110.05,One year,Yes,Yes,0.25,Low Risk,✅ Monitor
3973-SKMLN,71,19.9,Two year,No internet service,No internet service,0.0,,✅ Monitor
6745-JEFZB,35,91.5,Month-to-month,Yes,No,0.24,Low Risk,🔒 Offer OnlineSecurity add-on
9880-TDQAC,72,60.0,Two year,Yes,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
8705-WZCYL,1,44.8,Month-to-month,No,No,0.09,Low Risk,📧 Send re-engagement email
7102-JJVTX,9,48.6,One year,No,Yes,0.07,Low Risk,✅ Monitor
8626-PTQGE,69,60.05,Two year,Yes,Yes,0.03,Low Risk,✅ Monitor
4983-CLMLV,52,102.7,Month-to-month,Yes,No,0.24,Low Risk,🔒 Offer OnlineSecurity add-on
5701-YVSVF,11,82.9,Month-to-month,Yes,No,0.23,Low Risk,🔒 Offer OnlineSecurity add-on
5697-GOMBF,28,35.9,Month-to-month,No,No,0.11,Low Risk,🔒 Offer OnlineSecurity add-on
2739-CACDQ,17,82.65,Month-to-month,No,No,0.1,Low Risk,🎯 Assign dedicated support agent
9385-EHGDO,35,19.85,Two year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
9498-FIMXL,8,19.2,One year,No internet service,No internet service,0.02,Low Risk,✅ Monitor
2379-GYFLQ,46,94.9,One year,No,No,0.03,Low Risk,🎯 Assign dedicated support agent
2088-IEBAU,68,88.15,Two year,Yes,Yes,0.02,Low Risk,✅ Monitor
7982-VCELR,36,94.8,Month-to-month,No,No,0.11,Low Risk,🎯 Assign dedicated support agent
6035-BXTTY,32,54.65,Month-to-month,Yes,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
6885-PKOAM,71,85.75,Two year,Yes,Yes,0.0,,✅ Monitor
7520-HQWJU,66,67.45,Month-to-month,No,Yes,0.11,Low Risk,💰 Offer annual plan discount
9639-BUJXT,63,20.5,One year,No internet service,No internet service,0.0,,✅ Monitor
5924-SNGKP,41,20.25,One year,No internet service,No internet service,0.0,,✅ Monitor
0021-IKXGC,1,72.1,Month-to-month,No,No,0.32,Medium Risk,📧 Send re-engagement email
8966-SNIZF,70,19.45,Two year,No internet service,No internet service,0.0,,✅ Monitor
6243-OZGFH,23,44.95,Month-to-month,No,No,0.15,Low Risk,🔒 Offer OnlineSecurity add-on
4654-DLAMQ,64,97.0,One year,No,Yes,0.02,Low Risk,🎯 Assign dedicated support agent
0513-RBGPE,37,62.8,Two year,Yes,Yes,0.01,Low Risk,✅ Monitor
5160-UXJED,17,44.6,One year,No,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
4115-NZRKS,7,89.15,Month-to-month,No,No,0.46,Medium Risk,🎯 Assign dedicated support agent
3351-NGXYI,16,54.1,Month-to-month,No,Yes,0.2,Low Risk,💰 Offer annual plan discount
8984-EYLLL,64,105.25,Two year,Yes,No,0.07,Low Risk,🔒 Offer OnlineSecurity add-on
9833-TGFHX,42,97.1,One year,No,Yes,0.07,Low Risk,🎯 Assign dedicated support agent
9294-TDIPC,5,20.2,Month-to-month,No internet service,No internet service,0.0,,✅ Monitor
5229-DTFYB,41,98.8,Two year,Yes,No,0.02,Low Risk,🔒 Offer OnlineSecurity add-on
0104-PPXDV,58,50.3,One year,No,No,0.04,Low Risk,🔒 Offer OnlineSecurity add-on
5176-LMJXE,47,20.55,Two year,No internet service,No internet service,0.0,,✅ Monitor
3583-KRKMD,18,75.9,Month-to-month,Yes,No,0.1,Low Risk,🔒 Offer OnlineSecurity add-on
9069-LGEUL,23,59.95,Month-to-month,No,Yes,0.05,Low Risk,💰 Offer annual plan discount
7302-ZHMHP,1,19.15,Month-to-month,No internet service,No internet service,0.08315233124857184,Low Risk,📧 Send re-engagement email
9571-EDEBV,71,98.65,One year,No,No,0.07,Low Risk,🎯 Assign dedicated support agent
3520-FJGCV,72,112.6,Two year,Yes,Yes,0.0,,✅ Monitor
6563-VRERX,33,20.6,One year,No internet service,No internet service,0.0,,✅ Monitor
6122-EFVKN,24,35.75,Two year,Yes,Yes,0.0,,✅ Monitor
2805-EDJPQ,56,99.75,One year,Yes,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
6862-CQUMB,37,96.1,Month-to-month,No,No,0.11,Low Risk,🎯 Assign dedicated support agent
7156-MXBJE,43,85.1,One year,Yes,No,0.06,Low Risk,🔒 Offer OnlineSecurity add-on
6158-HDPXZ,1,25.35,Month-to-month,No,No,0.6,Medium Risk,📧 Send re-engagement email
2863-IMQDR,61,89.65,Two year,Yes,Yes,0.0,,✅ Monitor
5686-CMAWK,17,86.75,One year,Yes,No,0.07,Low Risk,🔒 Offer OnlineSecurity add-on
5651-CRHKQ,41,86.2,One year,Yes,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
